Solver,C,Penalty,Iteration,AccuracyNone,MacroAvgPrecisionNone,fprNone,tprNone,AccuracyBalanced,MacroAvgPrecisionBalanced,fprBalanced,tprBalanced,DiffMacroVsBalPrecision,Classes
liblinear,1.0,l1,0,0.8767313019390581,0.8323500226219811,[0.         0.05637009 1.        ],[0.        0.6396062 1.       ],0.8522267206477733,0.7864040941425106,[0.         0.14802841 1.        ],[0.         0.85313105 1.        ],0.045945928479470544,['No' 'Yes']
liblinear,1.0,l1,1,0.8770509269124228,0.8330206922386001,[0.         0.05700214 1.        ],[0.         0.64488682 1.        ],0.8529369983663613,0.7879908999714955,[0.         0.14806877 1.        ],[0.         0.85647777 1.        ],0.045029792267104574,['No' 'Yes']
liblinear,1.0,l1,2,0.8758079409048938,0.8293767795339096,[0.         0.05881014 1.        ],[0.         0.64372273 1.        ],0.8470416933020811,0.780918316391762,[0.         0.15480905 1.        ],[0.         0.85361125 1.        ],0.048458463142147634,['No' 'Yes']
liblinear,1.0,l1,0,0.8748748108845277,0.8292186573646936,[0.         0.05910373 1.        ],[0.         0.64298077 1.        ],0.8496878262907797,0.7850448819060176,[0.        0.1532481 1.       ],[0.   0.86 1.  ],0.04417377545867596,['No' 'Yes']
liblinear,1.0,l1,1,0.8748535020989154,0.8302247580131908,[0.         0.05759807 1.        ],[0.         0.63759615 1.        ],0.8507106480001705,0.7855211346807545,[0.         0.14919653 1.        ],[0.         0.85038462 1.        ],0.04470362333243638,['No' 'Yes']
liblinear,1.0,l1,2,0.8748748108845277,0.8293231626340383,[0.         0.05896846 1.        ],[0.         0.64253437 1.        ],0.8495173560058812,0.7844429100945123,[0.         0.15147284 1.        ],[0.        0.8529949 1.       ],0.04488025253952599,['No' 'Yes']
saga,1.0,l1,0,0.8767313019390581,0.8323500226219811,[0.         0.05637009 1.        ],[0.        0.6396062 1.       ],0.8522267206477733,0.7864040941425106,[0.         0.14802841 1.        ],[0.         0.85313105 1.        ],0.045945928479470544,['No' 'Yes']
saga,1.0,l1,1,0.8770509269124228,0.8330206922386001,[0.         0.05700214 1.        ],[0.         0.64488682 1.        ],0.8529014844804319,0.7879444803688205,[0.         0.14806877 1.        ],[0.         0.85631723 1.        ],0.045076211869779614,['No' 'Yes']
saga,1.0,l1,2,0.8758079409048938,0.8293767795339096,[0.         0.05881014 1.        ],[0.         0.64372273 1.        ],0.8470416933020811,0.780918316391762,[0.         0.15480905 1.        ],[0.         0.85361125 1.        ],0.048458463142147634,['No' 'Yes']
saga,1.0,l1,0,0.87489611967014,0.8292626697261221,[0.         0.05907635 1.        ],[0.         0.64298077 1.        ],0.8496878262907797,0.7850448819060176,[0.        0.1532481 1.       ],[0.   0.86 1.  ],0.04421778782010444,['No' 'Yes']
saga,1.0,l1,1,0.8748108845276907,0.8301544259672227,[0.         0.05762545 1.        ],[0.     0.6375 1.    ],0.8507106480001705,0.7855211346807545,[0.         0.14919653 1.        ],[0.         0.85038462 1.        ],0.0446332912864682,['No' 'Yes']
saga,1.0,l1,2,0.8748748108845277,0.8293231626340383,[0.         0.05896846 1.        ],[0.         0.64253437 1.        ],0.8495386647914935,0.7844650121742167,[0.         0.15144547 1.        ],[0.        0.8529949 1.       ],0.044858150459821555,['No' 'Yes']
liblinear,10.0,l1,0,0.8766602741671994,0.8322649193234324,[0.         0.05637009 1.        ],[0.         0.63928341 1.        ],0.8521556928759145,0.7863200426577255,[0.         0.14807395 1.        ],[0.         0.85296966 1.        ],0.0459448766657069,['No' 'Yes']
liblinear,10.0,l1,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8529725122522906,0.7880373169273843,[0.         0.14806877 1.        ],[0.        0.8566383 1.       ],0.044951145524538494,['No' 'Yes']
liblinear,10.0,l1,2,0.875914482562682,0.8295670972449384,[0.        0.0587191 1.       ],[0.         0.64388431 1.        ],0.8469706655302223,0.780845887970158,[0.         0.15490009 1.        ],[0.         0.85361125 1.        ],0.04872120927478041,['No' 'Yes']
liblinear,10.0,l1,0,0.8748321933133031,0.8291490054247981,[0.        0.0591311 1.       ],[0.         0.64288462 1.        ],0.8496452087195551,0.7849950604468734,[0.         0.15327548 1.        ],[0.         0.85990385 1.        ],0.044153944977924686,['No' 'Yes']
liblinear,10.0,l1,1,0.8748748108845277,0.8302886873414197,[0.         0.05754332 1.        ],[0.     0.6375 1.    ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.04483465875996373,['No' 'Yes']
liblinear,10.0,l1,2,0.8749174284557523,0.829392869037186,[0.         0.05894109 1.        ],[0.         0.64263052 1.        ],0.8495173560058812,0.7844429100945123,[0.         0.15147284 1.        ],[0.        0.8529949 1.       ],0.04494995894267373,['No' 'Yes']
saga,10.0,l1,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.852120178989985,0.7862734310139232,[0.         0.14807395 1.        ],[0.         0.85280826 1.        ],0.046034043504763034,['No' 'Yes']
saga,10.0,l1,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8530435400241494,0.7881120972524136,[0.         0.14797756 1.        ],[0.        0.8566383 1.       ],0.044876365199509216,['No' 'Yes']
saga,10.0,l1,2,0.875914482562682,0.8295670972449384,[0.        0.0587191 1.       ],[0.         0.64388431 1.        ],0.8470061794161517,0.7808820982101163,[0.         0.15485457 1.        ],[0.         0.85361125 1.        ],0.04868499903482204,['No' 'Yes']
saga,10.0,l1,0,0.8748108845276907,0.829123353755101,[0.        0.0591311 1.       ],[0.         0.64278846 1.        ],0.8496452087195551,0.7849950604468734,[0.         0.15327548 1.        ],[0.         0.85990385 1.        ],0.04412829330822765,['No' 'Yes']
saga,10.0,l1,1,0.8748748108845277,0.8302886873414197,[0.         0.05754332 1.        ],[0.     0.6375 1.    ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.04483465875996373,['No' 'Yes']
saga,10.0,l1,2,0.8749174284557523,0.829392869037186,[0.         0.05894109 1.        ],[0.         0.64263052 1.        ],0.849496047220269,0.7844208109384878,[0.         0.15150022 1.        ],[0.        0.8529949 1.       ],0.0449720580986982,['No' 'Yes']
liblinear,100.0,l1,0,0.8766602741671994,0.8322649193234324,[0.         0.05637009 1.        ],[0.         0.63928341 1.        ],0.8521556928759145,0.7863200426577255,[0.         0.14807395 1.        ],[0.         0.85296966 1.        ],0.0459448766657069,['No' 'Yes']
liblinear,100.0,l1,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.85300802613822,0.788074702928369,[0.         0.14802317 1.        ],[0.        0.8566383 1.       ],0.04491375952355381,['No' 'Yes']
liblinear,100.0,l1,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8469706655302223,0.780845887970158,[0.         0.15490009 1.        ],[0.         0.85361125 1.        ],0.04876413156574233,['No' 'Yes']
liblinear,100.0,l1,0,0.8748321933133031,0.8291490054247981,[0.        0.0591311 1.       ],[0.         0.64288462 1.        ],0.8496238999339427,0.7849732224871768,[0.         0.15330286 1.        ],[0.         0.85990385 1.        ],0.044175782937621255,['No' 'Yes']
liblinear,100.0,l1,1,0.87489611967014,0.8303142681338536,[0.         0.05754332 1.        ],[0.         0.63759615 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.044860239552397596,['No' 'Yes']
liblinear,100.0,l1,2,0.8749387372413646,0.8294184979861087,[0.         0.05894109 1.        ],[0.         0.64272666 1.        ],0.8495173560058812,0.7844429100945123,[0.         0.15147284 1.        ],[0.        0.8529949 1.       ],0.04497558789159639,['No' 'Yes']
saga,100.0,l1,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.852120178989985,0.7862734310139232,[0.         0.14807395 1.        ],[0.         0.85280826 1.        ],0.046034043504763034,['No' 'Yes']
saga,100.0,l1,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8530435400241494,0.7881120972524136,[0.         0.14797756 1.        ],[0.        0.8566383 1.       ],0.044876365199509216,['No' 'Yes']
saga,100.0,l1,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8470061794161517,0.7808820982101163,[0.         0.15485457 1.        ],[0.         0.85361125 1.        ],0.04872792132578396,['No' 'Yes']
saga,100.0,l1,0,0.8748108845276907,0.829123353755101,[0.        0.0591311 1.       ],[0.         0.64278846 1.        ],0.8496238999339427,0.7849732224871768,[0.         0.15330286 1.        ],[0.         0.85990385 1.        ],0.04415013126792422,['No' 'Yes']
saga,100.0,l1,1,0.8749174284557523,0.8303398463880454,[0.         0.05754332 1.        ],[0.         0.63769231 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.0448858178065894,['No' 'Yes']
saga,100.0,l1,2,0.8749174284557523,0.829392869037186,[0.         0.05894109 1.        ],[0.         0.64263052 1.        ],0.849496047220269,0.7844208109384878,[0.         0.15150022 1.        ],[0.        0.8529949 1.       ],0.0449720580986982,['No' 'Yes']
newton-cg,1.0,l2,0,0.8766602741671994,0.8322649193234324,[0.         0.05637009 1.        ],[0.         0.63928341 1.        ],0.8521556928759145,0.7863200426577255,[0.         0.14807395 1.        ],[0.         0.85296966 1.        ],0.0459448766657069,['No' 'Yes']
newton-cg,1.0,l2,1,0.8770154130264933,0.8329461940885945,[0.         0.05704774 1.        ],[0.         0.64488682 1.        ],0.8529725122522906,0.7880373169273843,[0.         0.14806877 1.        ],[0.        0.8566383 1.       ],0.04490887716121017,['No' 'Yes']
newton-cg,1.0,l2,2,0.875914482562682,0.8295670972449384,[0.        0.0587191 1.       ],[0.         0.64388431 1.        ],0.8469706655302223,0.780845887970158,[0.         0.15490009 1.        ],[0.         0.85361125 1.        ],0.04872120927478041,['No' 'Yes']
newton-cg,1.0,l2,0,0.8748535020989154,0.8292113830790668,[0.         0.05907635 1.        ],[0.         0.64278846 1.        ],0.8496452087195551,0.7849950604468734,[0.         0.15327548 1.        ],[0.         0.85990385 1.        ],0.04421632263219344,['No' 'Yes']
newton-cg,1.0,l2,1,0.8748535020989154,0.8302439236642303,[0.        0.0575707 1.       ],[0.     0.6375 1.    ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.04478989508277431,['No' 'Yes']
newton-cg,1.0,l2,2,0.87489611967014,0.8293487976402956,[0.         0.05896846 1.        ],[0.         0.64263052 1.        ],0.849496047220269,0.7844208109384878,[0.         0.15150022 1.        ],[0.        0.8529949 1.       ],0.044927986701807754,['No' 'Yes']
lbfgs,1.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.8521556928759145,0.7863200426577255,[0.         0.14807395 1.        ],[0.         0.85296966 1.        ],0.04598743186096077,['No' 'Yes']
lbfgs,1.0,l2,1,0.8770154130264933,0.8329461940885945,[0.         0.05704774 1.        ],[0.         0.64488682 1.        ],0.85300802613822,0.788074702928369,[0.         0.14802317 1.        ],[0.        0.8566383 1.       ],0.044871491160225485,['No' 'Yes']
lbfgs,1.0,l2,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8469706655302223,0.780845887970158,[0.         0.15490009 1.        ],[0.         0.85361125 1.        ],0.04876413156574233,['No' 'Yes']
lbfgs,1.0,l2,0,0.8748535020989154,0.8292113830790668,[0.         0.05907635 1.        ],[0.         0.64278846 1.        ],0.8496665175051674,0.7850169012717907,[0.        0.1532481 1.       ],[0.         0.85990385 1.        ],0.04419448180727614,['No' 'Yes']
lbfgs,1.0,l2,1,0.8748535020989154,0.8302439236642303,[0.        0.0575707 1.       ],[0.     0.6375 1.    ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.04478989508277431,['No' 'Yes']
lbfgs,1.0,l2,2,0.87489611967014,0.8293487976402956,[0.         0.05896846 1.        ],[0.         0.64263052 1.        ],0.8495173560058812,0.7844487942653142,[0.         0.15150022 1.        ],[0.         0.85309105 1.        ],0.044900003374981345,['No' 'Yes']
liblinear,1.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.8521556928759145,0.7863200426577255,[0.         0.14807395 1.        ],[0.         0.85296966 1.        ],0.04598743186096077,['No' 'Yes']
liblinear,1.0,l2,1,0.8770154130264933,0.8329461940885945,[0.         0.05704774 1.        ],[0.         0.64488682 1.        ],0.8529725122522906,0.7880373169273843,[0.         0.14806877 1.        ],[0.        0.8566383 1.       ],0.04490887716121017,['No' 'Yes']
liblinear,1.0,l2,2,0.875914482562682,0.8295670972449384,[0.        0.0587191 1.       ],[0.         0.64388431 1.        ],0.8469706655302223,0.780845887970158,[0.         0.15490009 1.        ],[0.         0.85361125 1.        ],0.04872120927478041,['No' 'Yes']
liblinear,1.0,l2,0,0.8748321933133031,0.8291673636187282,[0.         0.05910373 1.        ],[0.         0.64278846 1.        ],0.8496665175051674,0.785023042058776,[0.         0.15327548 1.        ],[0.   0.86 1.  ],0.04414432155995218,['No' 'Yes']
liblinear,1.0,l2,1,0.8748748108845277,0.830269508131009,[0.        0.0575707 1.       ],[0.         0.63759615 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.044815479549553006,['No' 'Yes']
liblinear,1.0,l2,2,0.87489611967014,0.8293487976402956,[0.         0.05896846 1.        ],[0.         0.64263052 1.        ],0.8495173560058812,0.7844487942653142,[0.         0.15150022 1.        ],[0.         0.85309105 1.        ],0.044900003374981345,['No' 'Yes']
sag,1.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.8521556928759145,0.7863200426577255,[0.         0.14807395 1.        ],[0.         0.85296966 1.        ],0.04598743186096077,['No' 'Yes']
sag,1.0,l2,1,0.8770154130264933,0.8329461940885945,[0.         0.05704774 1.        ],[0.         0.64488682 1.        ],0.85300802613822,0.788074702928369,[0.         0.14802317 1.        ],[0.        0.8566383 1.       ],0.044871491160225485,['No' 'Yes']
sag,1.0,l2,2,0.875914482562682,0.8295670972449384,[0.        0.0587191 1.       ],[0.         0.64388431 1.        ],0.8470061794161517,0.7808820982101163,[0.         0.15485457 1.        ],[0.         0.85361125 1.        ],0.04868499903482204,['No' 'Yes']
sag,1.0,l2,0,0.8748748108845277,0.829237027651317,[0.         0.05907635 1.        ],[0.         0.64288462 1.        ],0.8496665175051674,0.785023042058776,[0.         0.15327548 1.        ],[0.   0.86 1.  ],0.04421398559254097,['No' 'Yes']
sag,1.0,l2,1,0.8748535020989154,0.8302439236642303,[0.        0.0575707 1.       ],[0.     0.6375 1.    ],0.8506680304289459,0.7854763942988352,[0.         0.14925128 1.        ],[0.         0.85038462 1.        ],0.044767529365395076,['No' 'Yes']
sag,1.0,l2,2,0.87489611967014,0.8293487976402956,[0.         0.05896846 1.        ],[0.         0.64263052 1.        ],0.8495173560058812,0.7844487942653142,[0.         0.15150022 1.        ],[0.         0.85309105 1.        ],0.044900003374981345,['No' 'Yes']
saga,1.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.8521556928759145,0.7863200426577255,[0.         0.14807395 1.        ],[0.         0.85296966 1.        ],0.04598743186096077,['No' 'Yes']
saga,1.0,l2,1,0.8770154130264933,0.8329461940885945,[0.         0.05704774 1.        ],[0.         0.64488682 1.        ],0.8529725122522906,0.7880373169273843,[0.         0.14806877 1.        ],[0.        0.8566383 1.       ],0.04490887716121017,['No' 'Yes']
saga,1.0,l2,2,0.875914482562682,0.8295670972449384,[0.        0.0587191 1.       ],[0.         0.64388431 1.        ],0.8469706655302223,0.780845887970158,[0.         0.15490009 1.        ],[0.         0.85361125 1.        ],0.04872120927478041,['No' 'Yes']
saga,1.0,l2,0,0.8748535020989154,0.8292113830790668,[0.         0.05907635 1.        ],[0.         0.64278846 1.        ],0.8496878262907797,0.7850448819060176,[0.        0.1532481 1.       ],[0.   0.86 1.  ],0.04416650117304921,['No' 'Yes']
saga,1.0,l2,1,0.8748535020989154,0.8302439236642303,[0.        0.0575707 1.       ],[0.     0.6375 1.    ],0.8506680304289459,0.7854763942988352,[0.         0.14925128 1.        ],[0.         0.85038462 1.        ],0.044767529365395076,['No' 'Yes']
saga,1.0,l2,2,0.87489611967014,0.8293487976402956,[0.         0.05896846 1.        ],[0.         0.64263052 1.        ],0.8495386647914935,0.7844708924346533,[0.         0.15147284 1.        ],[0.         0.85309105 1.        ],0.04487790520564228,['No' 'Yes']
newton-cg,10.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.852120178989985,0.7862734310139232,[0.         0.14807395 1.        ],[0.         0.85280826 1.        ],0.046034043504763034,['No' 'Yes']
newton-cg,10.0,l2,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8530435400241494,0.7881120972524136,[0.         0.14797756 1.        ],[0.        0.8566383 1.       ],0.044876365199509216,['No' 'Yes']
newton-cg,10.0,l2,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8470061794161517,0.7808820982101163,[0.         0.15485457 1.        ],[0.         0.85361125 1.        ],0.04872792132578396,['No' 'Yes']
newton-cg,10.0,l2,0,0.8748108845276907,0.829123353755101,[0.        0.0591311 1.       ],[0.         0.64278846 1.        ],0.8496238999339427,0.7849732224871768,[0.         0.15330286 1.        ],[0.         0.85990385 1.        ],0.04415013126792422,['No' 'Yes']
newton-cg,10.0,l2,1,0.8749174284557523,0.8303398463880454,[0.         0.05754332 1.        ],[0.         0.63769231 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.0448858178065894,['No' 'Yes']
newton-cg,10.0,l2,2,0.8749174284557523,0.829392869037186,[0.         0.05894109 1.        ],[0.         0.64263052 1.        ],0.849496047220269,0.7844208109384878,[0.         0.15150022 1.        ],[0.        0.8529949 1.       ],0.0449720580986982,['No' 'Yes']
lbfgs,10.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.852120178989985,0.7862734310139232,[0.         0.14807395 1.        ],[0.         0.85280826 1.        ],0.046034043504763034,['No' 'Yes']
lbfgs,10.0,l2,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8530435400241494,0.7881120972524136,[0.         0.14797756 1.        ],[0.        0.8566383 1.       ],0.044876365199509216,['No' 'Yes']
lbfgs,10.0,l2,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8470061794161517,0.7808820982101163,[0.         0.15485457 1.        ],[0.         0.85361125 1.        ],0.04872792132578396,['No' 'Yes']
lbfgs,10.0,l2,0,0.8748108845276907,0.829123353755101,[0.        0.0591311 1.       ],[0.         0.64278846 1.        ],0.8496452087195551,0.7849950604468734,[0.         0.15327548 1.        ],[0.         0.85990385 1.        ],0.04412829330822765,['No' 'Yes']
lbfgs,10.0,l2,1,0.8749174284557523,0.8303398463880454,[0.         0.05754332 1.        ],[0.         0.63769231 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.0448858178065894,['No' 'Yes']
lbfgs,10.0,l2,2,0.8749387372413646,0.8294184979861087,[0.         0.05894109 1.        ],[0.         0.64272666 1.        ],0.849496047220269,0.7844208109384878,[0.         0.15150022 1.        ],[0.        0.8529949 1.       ],0.04499768704762086,['No' 'Yes']
liblinear,10.0,l2,0,0.8766602741671994,0.8322649193234324,[0.         0.05637009 1.        ],[0.         0.63928341 1.        ],0.852120178989985,0.7862734310139232,[0.         0.14807395 1.        ],[0.         0.85280826 1.        ],0.045991488309509165,['No' 'Yes']
liblinear,10.0,l2,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8530435400241494,0.7881120972524136,[0.         0.14797756 1.        ],[0.        0.8566383 1.       ],0.044876365199509216,['No' 'Yes']
liblinear,10.0,l2,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8470061794161517,0.7808820982101163,[0.         0.15485457 1.        ],[0.         0.85361125 1.        ],0.04872792132578396,['No' 'Yes']
liblinear,10.0,l2,0,0.8748108845276907,0.829123353755101,[0.        0.0591311 1.       ],[0.         0.64278846 1.        ],0.8496238999339427,0.7849732224871768,[0.         0.15330286 1.        ],[0.         0.85990385 1.        ],0.04415013126792422,['No' 'Yes']
liblinear,10.0,l2,1,0.8749174284557523,0.8303398463880454,[0.         0.05754332 1.        ],[0.         0.63769231 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.0448858178065894,['No' 'Yes']
liblinear,10.0,l2,2,0.8749387372413646,0.8294184979861087,[0.         0.05894109 1.        ],[0.         0.64272666 1.        ],0.8495173560058812,0.7844429100945123,[0.         0.15147284 1.        ],[0.        0.8529949 1.       ],0.04497558789159639,['No' 'Yes']
sag,10.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.852120178989985,0.7862734310139232,[0.         0.14807395 1.        ],[0.         0.85280826 1.        ],0.046034043504763034,['No' 'Yes']
sag,10.0,l2,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8530435400241494,0.7881120972524136,[0.         0.14797756 1.        ],[0.        0.8566383 1.       ],0.044876365199509216,['No' 'Yes']
sag,10.0,l2,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8470416933020811,0.780918316391762,[0.         0.15480905 1.        ],[0.         0.85361125 1.        ],0.04869170314413829,['No' 'Yes']
sag,10.0,l2,0,0.8747895757420785,0.8290976995861397,[0.        0.0591311 1.       ],[0.         0.64269231 1.        ],0.8496238999339427,0.7849732224871768,[0.         0.15330286 1.        ],[0.         0.85990385 1.        ],0.04412447709896283,['No' 'Yes']
sag,10.0,l2,1,0.8749174284557523,0.8303398463880454,[0.         0.05754332 1.        ],[0.         0.63769231 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.0448858178065894,['No' 'Yes']
sag,10.0,l2,2,0.8749174284557523,0.829392869037186,[0.         0.05894109 1.        ],[0.         0.64263052 1.        ],0.849496047220269,0.7844208109384878,[0.         0.15150022 1.        ],[0.        0.8529949 1.       ],0.0449720580986982,['No' 'Yes']
saga,10.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.852120178989985,0.7862734310139232,[0.         0.14807395 1.        ],[0.         0.85280826 1.        ],0.046034043504763034,['No' 'Yes']
saga,10.0,l2,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8530435400241494,0.7881120972524136,[0.         0.14797756 1.        ],[0.        0.8566383 1.       ],0.044876365199509216,['No' 'Yes']
saga,10.0,l2,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8470061794161517,0.7808820982101163,[0.         0.15485457 1.        ],[0.         0.85361125 1.        ],0.04872792132578396,['No' 'Yes']
saga,10.0,l2,0,0.8748108845276907,0.829123353755101,[0.        0.0591311 1.       ],[0.         0.64278846 1.        ],0.8496452087195551,0.7849950604468734,[0.         0.15327548 1.        ],[0.         0.85990385 1.        ],0.04412829330822765,['No' 'Yes']
saga,10.0,l2,1,0.8749174284557523,0.8303398463880454,[0.         0.05754332 1.        ],[0.         0.63769231 1.        ],0.8506467216433335,0.785454028581456,[0.         0.14927866 1.        ],[0.         0.85038462 1.        ],0.0448858178065894,['No' 'Yes']
saga,10.0,l2,2,0.8749174284557523,0.829392869037186,[0.         0.05894109 1.        ],[0.         0.64263052 1.        ],0.849496047220269,0.7844208109384878,[0.         0.15150022 1.        ],[0.        0.8529949 1.       ],0.0449720580986982,['No' 'Yes']
newton-cg,100.0,l2,0,0.8766957880531288,0.8323074745186863,[0.         0.05637009 1.        ],[0.        0.6394448 1.       ],0.852120178989985,0.7862734310139232,[0.         0.14807395 1.        ],[0.         0.85280826 1.        ],0.046034043504763034,['No' 'Yes']
newton-cg,100.0,l2,1,0.8770509269124228,0.8329884624519228,[0.         0.05704774 1.        ],[0.         0.64504736 1.        ],0.8530435400241494,0.7881120972524136,[0.         0.14797756 1.        ],[0.        0.8566383 1.       ],0.044876365199509216,['No' 'Yes']
newton-cg,100.0,l2,2,0.8759499964486114,0.8296100195359003,[0.        0.0587191 1.       ],[0.         0.64404589 1.        ],0.8470061794161517,0.7808820982101163,[0.         0.15485457 1.        ],[0.         0.85361125 1.        ],0.04872792132578396,['No' 'Yes']
